Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
693.714,881.28,378.076,µm,Spot,Position,1,160
700.631,878.738,391.561,µm,Spot,Position,1,161
705.289,857.914,362.711,µm,Spot,Position,1,162
721.251,842.837,374.076,µm,Spot,Position,1,163
713.696,856.195,375.395,µm,Spot,Position,1,164
705.078,869.293,376.775,µm,Spot,Position,1,165
736,826.496,385.865,µm,Spot,Position,1,166
729.459,840.31,386.08,µm,Spot,Position,1,167
721.068,854.134,388.445,µm,Spot,Position,1,168
711.863,866.81,390.035,µm,Spot,Position,1,169
743.429,821.842,396.984,µm,Spot,Position,1,170
737.074,836.745,399.945,µm,Spot,Position,1,171
728.274,849.964,401.156,µm,Spot,Position,1,172
718.027,863.311,403.283,µm,Spot,Position,1,173
707.124,875.156,404.506,µm,Spot,Position,1,174
373.595,887.519,401.78,µm,Spot,Position,1,175
422.258,899.26,366.437,µm,Spot,Position,1,176
433.858,907.245,369.835,µm,Spot,Position,1,177
409.176,897.182,374.497,µm,Spot,Position,1,178
421.537,907.234,380.528,µm,Spot,Position,1,179
396.902,893.581,382.667,µm,Spot,Position,1,180
435.36,915.149,386.02,µm,Spot,Position,1,181
409.47,904.183,389.442,µm,Spot,Position,1,182
386.106,891.404,391.832,µm,Spot,Position,1,183
423.218,913.222,395.832,µm,Spot,Position,1,184
397.89,901.226,398.47,µm,Spot,Position,1,185
437.7,920.213,401.739,µm,Spot,Position,1,186
411.047,910.351,405.018,µm,Spot,Position,1,187
482.436,910.558,345.685,µm,Spot,Position,1,188
496.017,916.316,347.911,µm,Spot,Position,1,189
458.124,906.779,352.9,µm,Spot,Position,1,190
509.833,922.726,352.585,µm,Spot,Position,1,191
470.346,913.048,354.901,µm,Spot,Position,1,192
445.011,906.281,360.541,µm,Spot,Position,1,193
484.436,920.499,359.414,µm,Spot,Position,1,194
499.182,926.069,363.902,µm,Spot,Position,1,195
458.725,915.53,365.662,µm,Spot,Position,1,196
472.762,921.821,369.764,µm,Spot,Position,1,197
446.939,915.381,375.328,µm,Spot,Position,1,198
487.41,927.791,374.613,µm,Spot,Position,1,199
502.927,932.545,379.34,µm,Spot,Position,1,200
461.387,922.511,380.883,µm,Spot,Position,1,201
