Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default.Labels,ID
524.808,92.6596,447.398,µm,Spot,Position,1,,280
540.335,95.828,448.562,µm,Spot,Position,1,,281
555.658,99.4646,449.433,µm,Spot,Position,1,,282
571.06,103.173,449.978,µm,Spot,Position,1,,283
514.936,94.2539,458.128,µm,Spot,Position,1,,284
530.867,96.9785,459.848,µm,Spot,Position,1,,285
546.24,99.9001,460.573,µm,Spot,Position,1,,286
562.099,103.933,461.296,µm,Spot,Position,1,,287
521.353,97.8039,470.602,µm,Spot,Position,1,,288
552.477,105.19,471.876,µm,Spot,Position,1,,289
536.995,100.911,471.803,µm,Spot,Position,1,,290
581.421,104.244,414.494,µm,Spot,Position,1,,291
587.906,106.679,426.059,µm,Spot,Position,1,,292
579.585,104.375,437.942,µm,Spot,Position,1,,293
314.685,165.621,422.046,µm,Spot,Position,1,,294
306.5,171.134,455.281,µm,Spot,Position,1,,295
308.065,171.545,468.696,µm,Spot,Position,1,,296
316.303,168.994,408.745,µm,Spot,Position,1,,297
345.494,143.909,411.477,µm,Spot,Position,1,,298
377.408,121.583,412.151,µm,Spot,Position,1,,299
325.258,159.441,413.712,µm,Spot,Position,1,,300
355.967,134.79,416.435,µm,Spot,Position,1,,301
335.399,148.999,419.523,µm,Spot,Position,1,,302
367.543,127.169,420.956,µm,Spot,Position,1,,303
345.334,140.431,424.657,µm,Spot,Position,1,,304
379.429,119.046,426.011,µm,Spot,Position,1,,305
325.163,156.171,427.143,µm,Spot,Position,1,,306
357.128,132.129,429.958,µm,Spot,Position,1,,307
335.506,147.128,433.443,µm,Spot,Position,1,,308
315.031,163.637,435.235,µm,Spot,Position,1,,309
369.742,124.714,435.298,µm,Spot,Position,1,,310
347.466,138.929,438.552,µm,Spot,Position,1,,311
325.583,154.23,440.949,µm,Spot,Position,1,,312
359.569,130.787,444.023,µm,Spot,Position,1,,313
337.418,146.089,446.697,µm,Spot,Position,1,,314
315.903,162.578,448.012,µm,Spot,Position,1,,315
373.092,123.784,449.314,µm,Spot,Position,1,,316
